image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
Billet\IMG_20231123_204031.jpg,Billet,0.5404199,0.30891615,0.5584577,0.2979811,0.5201058,0.2993086,0.58476967,0.31706592,0.49402887,0.32060713,0.62727493,0.3975358,0.45387685,0.39542148,0.64644885,0.4969891,0.43100184,0.50182194,0.5969996,0.46926388,0.4247148,0.5941882,0.59444433,0.59705395,0.478756,0.59549236,0.59884554,0.7407716,0.4755421,0.74057436,0.605997,0.8664604,0.46321204,0.85653
Billet\IMG_20231123_204035.jpg,Billet,0.49671972,0.32090506,0.51866066,0.30872425,0.48280773,0.30869463,0.5572759,0.32624057,0.46571493,0.325456,0.60449785,0.41080007,0.43163085,0.40485266,0.6250064,0.5120768,0.41496104,0.5103467,0.5550775,0.48121187,0.40788236,0.6042374,0.57127666,0.61746407,0.45337275,0.61458564,0.57868695,0.76247746,0.45965898,0.7590227,0.60056084,0.8948634,0.45087245,0.87294537
Billet\IMG_20231123_204040.jpg,Billet,0.5133993,0.35430825,0.5254884,0.34215593,0.49242815,0.3428901,0.5404933,0.35607448,0.45796832,0.36018747,0.5758459,0.4384055,0.41330534,0.43675226,0.6048612,0.5282855,0.38890544,0.5418123,0.57029444,0.4980656,0.38809296,0.6302614,0.55442154,0.63577753,0.4423841,0.6347347,0.5555717,0.77361315,0.43567407,0.77849054,0.56477517,0.8898217,0.41672304,0.90519196
Billet\IMG_20231123_204049.jpg,Billet,0.51086944,0.33925477,0.0,0.0,0.5052052,0.3262902,0.0,0.0,0.47079015,0.3376027,0.38911417,0.41566136,0.47083765,0.41818738,0.425497,0.51281434,0.48855948,0.5511575,0.5056096,0.47214678,0.5231568,0.6496993,0.41140357,0.63519037,0.4771872,0.6405397,0.41423473,0.767206,0.4810492,0.78904927,0.40460774,0.9022592,0.47034505,0.9447401
Billet\IMG_20231123_204053.jpg,Billet,0.49035013,0.31086215,0.5000628,0.29635513,0.0,0.0,0.5421561,0.308748,0.0,0.0,0.53254735,0.40135956,0.62827075,0.38504335,0.49628928,0.527117,0.0,0.0,0.44850704,0.45409945,0.0,0.0,0.54686624,0.61614186,0.6193778,0.60629636,0.5413097,0.7643934,0.60857534,0.74936295,0.5549726,0.9272263,0.61206394,0.8875917
Billet\IMG_20231123_204248.jpg,Billet,0.5354265,0.50543106,0.5574684,0.48839548,0.51577425,0.4895108,0.59128916,0.50068265,0.49446997,0.5017708,0.6377965,0.58014286,0.4543091,0.5557245,0.66307974,0.6969027,0.39767665,0.67193204,0.5882267,0.6476098,0.444595,0.75396323,0.5905873,0.71698433,0.45912504,0.7061937,0.71777636,0.7877555,0.31949273,0.78261894,0.5554934,0.8000768,0.4928851,0.8068891
Billet\IMG_20231123_204255.jpg,Billet,0.4031122,0.48935714,0.42807513,0.47791684,0.40588823,0.47509757,0.49639177,0.49486193,0.0,0.0,0.5761123,0.5802436,0.4216951,0.5422869,0.549195,0.73538285,0.3885068,0.6466794,0.42197815,0.65327483,0.36183375,0.7383339,0.59332985,0.735984,0.47341016,0.7082669,0.5396157,0.8135511,0.27642712,0.75108135,0.57815856,0.866654,0.51970583,0.8025255
Billet\IMG_20231123_204301.jpg,Billet,0.6762395,0.45921433,0.67824787,0.44385412,0.6481589,0.4469266,0.0,0.0,0.578656,0.4611834,0.67618644,0.5323265,0.4990957,0.5387454,0.69616205,0.6631866,0.46961686,0.6831594,0.7194196,0.6218373,0.6005717,0.747878,0.6065373,0.6794238,0.48218426,0.701201,0.76837873,0.73076206,0.5258045,0.8299154,0.54247767,0.7610582,0.51869756,0.7963327
Billet\IMG_20231123_204309.jpg,Billet,0.6444309,0.42603245,0.0,0.0,0.62529767,0.4172369,0.0,0.0,0.55930585,0.44367108,0.48841545,0.48779282,0.5216362,0.5493752,0.5403365,0.59228873,0.5985351,0.6977941,0.64315206,0.57228523,0.7258567,0.73540246,0.46039453,0.6853729,0.47604612,0.72709113,0.71675175,0.7450266,0.74553967,0.8195691,0.49589455,0.7806303,0.45856786,0.79491425
Billet\IMG_20231123_204319.jpg,Billet,0.38325062,0.44638172,0.41214132,0.42630616,0.3709267,0.4262619,0.47741795,0.43317524,0.0,0.0,0.56071895,0.5013133,0.35113978,0.4850823,0.57786095,0.64962965,0.3057193,0.615858,0.45268825,0.5985059,0.3589926,0.7018884,0.54626,0.654466,0.39660174,0.64555645,0.6096607,0.71962464,0.24547635,0.7061921,0.5349087,0.73842704,0.49631733,0.7044466
Billet\IMG_20231123_204553.jpg,Billet,0.47164804,0.3975897,0.49026406,0.38493213,0.45386177,0.38613394,0.5185193,0.396481,0.43272224,0.39874262,0.56636304,0.46994781,0.405039,0.47321713,0.6038172,0.5601362,0.38502622,0.5604463,0.6068593,0.65274507,0.4721984,0.51157,0.5391344,0.66487116,0.4342053,0.6654648,0.543889,0.80986166,0.43512705,0.7997411,0.55066335,0.920564,0.4372803,0.9102745
Billet\IMG_20231123_204556.jpg,Billet,0.4154029,0.39759186,0.43759808,0.38371974,0.40809122,0.38350862,0.4925299,0.39622954,0.0,0.0,0.5381869,0.4807992,0.40088862,0.48190796,0.57329386,0.59581125,0.34230536,0.5675452,0.5489436,0.70058066,0.36702514,0.5220467,0.49345613,0.70401603,0.4027081,0.70318633,0.5096212,0.8469121,0.41228724,0.8385519,0.5430544,0.9725892,0.42201042,0.9511603
Billet\IMG_20231123_204557.jpg,Billet,0.59808624,0.37595654,0.60867333,0.36183193,0.5745287,0.3621799,0.0,0.0,0.5234025,0.373601,0.6394221,0.44967678,0.4887794,0.46358407,0.6745483,0.54769754,0.5132658,0.5640134,0.69006574,0.6381997,0.6269001,0.50159425,0.6333469,0.6587985,0.53165185,0.6664601,0.6329815,0.798886,0.5251997,0.8095902,0.63536257,0.9193547,0.50821173,0.9435923
Billet\IMG_20231123_204600.jpg,Billet,0.5776723,0.41634616,0.58735645,0.40347952,0.5549482,0.40340394,0.0,0.0,0.5068198,0.4151142,0.6207556,0.48922503,0.47635242,0.4983413,0.65366673,0.583112,0.50392985,0.59695196,0.6704882,0.67166203,0.6146899,0.537614,0.6178383,0.69478494,0.5178751,0.69953036,0.6128049,0.83572155,0.5036883,0.8427625,0.60802543,0.94291717,0.48662487,0.96221894
Billet\IMG_20231123_204600.jpg,Billet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billet\IMG_20231123_204606.jpg,Billet,0.4982015,0.3732033,0.0,0.0,0.4836601,0.35976508,0.0,0.0,0.43377492,0.374801,0.3747724,0.45406422,0.46187353,0.4651591,0.0,0.0,0.55828375,0.55713046,0.0,0.0,0.56372285,0.48352686,0.40362802,0.66778874,0.46872658,0.6779133,0.40754908,0.79696435,0.48891297,0.82466,0.38603586,0.91253304,0.48258212,0.9740716
Billet\IMG_20231123_204734.jpg,Billet,0.4295958,0.44937626,0.45514938,0.429636,0.40627527,0.42967454,0.49032477,0.44314784,0.37843016,0.44277486,0.530295,0.52784574,0.34403616,0.5327537,0.5987156,0.6473562,0.3145635,0.6663092,0.55551237,0.7456069,0.45843878,0.6177934,0.50388795,0.69162655,0.36844727,0.6940921,0.65343016,0.7557737,0.23226404,0.759666,0.50675213,0.82016546,0.3796756,0.82484704
Billet\IMG_20231123_204738.jpg,Billet,0.5477442,0.41952476,0.5574993,0.4064196,0.5247036,0.40219036,0.0,0.0,0.4605328,0.40666986,0.5104499,0.4918409,0.40153867,0.5015588,0.5345618,0.6040212,0.45422018,0.631433,0.59448355,0.6705574,0.56108475,0.56803805,0.41614696,0.66042393,0.3297374,0.6777791,0.5865287,0.672282,0.4829781,0.7383206,0.45184794,0.7426769,0.34301543,0.8133102
Billet\IMG_20231123_204742.jpg,Billet,0.0,0.0,0.0,0.0,0.55044186,0.4120396,0.0,0.0,0.51616037,0.41927442,0.38728335,0.4835,0.5342021,0.49913603,0.0,0.0,0.60397375,0.6217681,0.0,0.0,0.5574418,0.5636345,0.31480122,0.71217155,0.41720206,0.7299554,0.4535356,0.65947807,0.6470875,0.70263773,0.32646814,0.7568769,0.49939132,0.8374189
Billet\IMG_20231123_204756.jpg,Billet,0.41688457,0.4160983,0.44102693,0.3998705,0.4081833,0.4012952,0.5007003,0.40493432,0.0,0.0,0.55728513,0.4819915,0.44361806,0.48215717,0.55236536,0.61897445,0.39507237,0.59004766,0.42732823,0.67181194,0.39904284,0.56314695,0.6112617,0.64805853,0.53259873,0.6369969,0.49257562,0.68365407,0.37109405,0.6362815,0.62804264,0.7739268,0.5255979,0.7258597
Billet\IMG_20231123_204802.jpg,Billet,0.46918398,0.36014822,0.49542654,0.34247646,0.44843078,0.3414763,0.53287244,0.35368395,0.4235102,0.35183707,0.5751611,0.43135127,0.40018803,0.43351635,0.63864785,0.5573839,0.349093,0.5572331,0.5673514,0.6451663,0.45303625,0.52669215,0.5688791,0.5929966,0.4455614,0.5895666,0.6544525,0.65966445,0.30247727,0.622723,0.61956686,0.7158437,0.4712703,0.692761
Billet\IMG_20231123_205130.jpg,Billet,0.48750967,0.32947853,0.5074079,0.3137957,0.4677312,0.31632257,0.5415064,0.32594967,0.446865,0.33096388,0.581226,0.42236498,0.41677213,0.422743,0.59234315,0.53733504,0.40085092,0.51795393,0.59460497,0.6416238,0.50739926,0.46171427,0.5432622,0.6350933,0.4358441,0.6360863,0.5294975,0.788111,0.4447456,0.7836599,0.5196961,0.90345097,0.43909153,0.90404385
Billet\IMG_20231123_205136.jpg,Billet,0.5394722,0.31753686,0.0,0.0,0.52438813,0.3035007,0.0,0.0,0.47146297,0.31832704,0.46701884,0.40138286,0.47610283,0.41357163,0.0,0.0,0.5773069,0.511666,0.0,0.0,0.5426563,0.42456582,0.49178225,0.62530977,0.49364048,0.6335785,0.49451563,0.78237796,0.49080348,0.802738,0.47206616,0.8995728,0.42678982,0.95193493
