image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
Squat\IMG_20231123_204119.jpg,Squat,0.5184162,0.47448218,0.53993,0.45657885,0.49765489,0.4581362,0.5719253,0.46442977,0.47459996,0.46733296,0.62465274,0.53329384,0.43479556,0.52696276,0.6656468,0.6483573,0.38624865,0.65008074,0.57060134,0.7160231,0.46208242,0.7232172,0.59856975,0.6874283,0.46760657,0.6801546,0.705875,0.7716339,0.32122612,0.74443364,0.5509599,0.7598459,0.51694965,0.7640067
Squat\IMG_20231123_204128.jpg,Squat,0.4702728,0.4488156,0.4954544,0.43046913,0.45598415,0.43177453,0.5500072,0.4403135,0.0,0.0,0.6186093,0.5135815,0.42976213,0.5027367,0.647009,0.6381395,0.3822342,0.6191667,0.5282877,0.6967495,0.42979372,0.6886479,0.5979767,0.6638772,0.46032622,0.65129286,0.666649,0.7500027,0.3056203,0.7015344,0.6123783,0.76364464,0.50211954,0.7457083
Squat\IMG_20231123_204134.jpg,Squat,0.5144528,0.5135904,0.5179605,0.49626166,0.49223188,0.5043218,0.0,0.0,0.43619478,0.49762392,0.5410144,0.50417167,0.36123943,0.51208556,0.56133395,0.61542195,0.34035546,0.6269933,0.51552266,0.54870284,0.4198443,0.5601308,0.50830203,0.6315721,0.3767576,0.63833857,0.6169764,0.6775556,0.29832444,0.6999062,0.516171,0.7349037,0.37765616,0.7406827
Squat\IMG_20231123_204143.jpg,Squat,0.0,0.0,0.0,0.0,0.6404969,0.4430213,0.0,0.0,0.60774755,0.42139748,0.5123232,0.43254042,0.5122878,0.4542961,0.0,0.0,0.5800568,0.5771111,0.0,0.0,0.6022147,0.48611033,0.41404966,0.6090632,0.40308714,0.631307,0.6183721,0.59983265,0.63496,0.64030415,0.4590955,0.689576,0.45870066,0.71299386
Squat\IMG_20231123_204143.jpg,Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squat\IMG_20231123_204152.jpg,Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.39914057,0.4600841,0.0,0.0,0.44222158,0.48091778,0.54523325,0.45155922,0.3927806,0.5991779,0.0,0.0,0.39415708,0.49839136,0.0,0.0,0.6022914,0.66669273,0.6667469,0.64068097,0.3375174,0.65062505,0.4389402,0.60325867,0.542726,0.7308112,0.58651745,0.71156055
Squat\IMG_20231123_204152.jpg,Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squat\IMG_20231123_204209.jpg,Squat,0.48271343,0.40557218,0.4989572,0.39214543,0.457941,0.39612773,0.52337736,0.4058726,0.42617884,0.41641977,0.5856089,0.46303204,0.3822155,0.48122847,0.6970731,0.41066998,0.24114662,0.44205937,0.7541914,0.30280477,0.13570087,0.35472244,0.5766051,0.66912997,0.43235752,0.6768591,0.71798867,0.7725535,0.35502142,0.7981422,0.53633326,0.7595609,0.4664119,0.7505105
Squat\IMG_20231123_204214.jpg,Squat,0.4160875,0.39585948,0.4339373,0.38585153,0.0,0.0,0.50303,0.39585203,0.0,0.0,0.5792555,0.4624764,0.45634934,0.43499318,0.6161489,0.44895825,0.40258214,0.3742528,0.5695659,0.34599024,0.34361377,0.2841402,0.563228,0.6592447,0.47050714,0.6297204,0.47890952,0.7806371,0.32699522,0.6831052,0.5981182,0.74095803,0.5525143,0.710883
Squat\IMG_20231123_204219.jpg,Squat,0.66224015,0.36782208,0.6599955,0.35213855,0.637859,0.356452,0.0,0.0,0.5741243,0.37179908,0.66004527,0.43433604,0.52807444,0.4476151,0.736567,0.37397593,0.4503451,0.38583773,0.8088275,0.27776232,0.4414724,0.260173,0.6533651,0.649992,0.5605423,0.66462576,0.82668597,0.7211413,0.65932924,0.77656513,0.6080493,0.7406688,0.52180666,0.75754595
Squat\IMG_20231123_204219.jpg,Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
