image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
Billet\IMG_20231123_204031.jpg,Billet,0.5412914,0.30952573,0.5601819,0.2985833,0.5205601,0.299583,0.58654815,0.3155633,0.49177212,0.31751245,0.6189333,0.40273407,0.4624607,0.39640188,0.65422106,0.49810374,0.4238707,0.4995748,0.5907361,0.47148308,0.4233501,0.5882921,0.589329,0.6041323,0.48335558,0.5986202,0.6022298,0.7434823,0.46736264,0.7429188,0.6051364,0.8696895,0.4609855,0.86362875
Billet\IMG_20231123_204035.jpg,Billet,0.49609506,0.3202571,0.5190747,0.30895376,0.48088068,0.30851153,0.55740434,0.32509267,0.0,0.0,0.60016626,0.41059974,0.44140705,0.402493,0.6299348,0.51194316,0.40917885,0.50893754,0.55269825,0.48387957,0.40497243,0.6016675,0.569987,0.6182983,0.4575953,0.6114481,0.583457,0.7683652,0.45491204,0.75872505,0.5969952,0.88936275,0.4507008,0.87890184
Billet\IMG_20231123_204040.jpg,Billet,0.5116036,0.35326314,0.5255879,0.34179035,0.4905307,0.34277356,0.54123694,0.35495254,0.45734635,0.3570188,0.5667489,0.4403427,0.424044,0.43469042,0.60399204,0.5330137,0.38569728,0.53930455,0.5686688,0.5041712,0.38751402,0.6261029,0.54985815,0.63442165,0.45283157,0.6320286,0.55553627,0.7680871,0.42871374,0.77981937,0.5654225,0.89070755,0.41903117,0.90439427
Billet\IMG_20231123_204049.jpg,Billet,0.50722736,0.34160647,0.0,0.0,0.5032277,0.32870397,0.0,0.0,0.4738714,0.33893716,0.39564076,0.41568208,0.45973954,0.42775264,0.44191322,0.5036527,0.48675674,0.5551556,0.5176683,0.4651475,0.5218673,0.64799047,0.42043668,0.6305242,0.47037584,0.6414832,0.4090829,0.7605808,0.4870085,0.79414356,0.41569954,0.8975657,0.4632336,0.9457122
Billet\IMG_20231123_204053.jpg,Billet,0.4936346,0.31096283,0.49924853,0.29766116,0.0,0.0,0.5402791,0.31055364,0.0,0.0,0.54464227,0.4109812,0.62756217,0.38356456,0.4900695,0.51975864,0.5909214,0.47768366,0.4449688,0.45049325,0.5037335,0.41160956,0.55194795,0.6202813,0.61568147,0.60518354,0.53840333,0.77657545,0.608705,0.7471643,0.55502975,0.9362655,0.6158808,0.88761824
Billet\IMG_20231123_204553.jpg,Billet,0.47332826,0.3962684,0.48985043,0.38482285,0.4548954,0.38638815,0.51837546,0.39747092,0.43366277,0.40074685,0.563084,0.4677949,0.40684322,0.4753038,0.6100858,0.5659691,0.383196,0.56050634,0.605169,0.65169775,0.47099844,0.5135621,0.54444057,0.6608008,0.43870556,0.66534126,0.5491845,0.799062,0.43518233,0.7962931,0.5478428,0.92187434,0.43885568,0.91550446
Billet\IMG_20231123_204556.jpg,Billet,0.41600114,0.3994926,0.43852186,0.38645884,0.41056532,0.3867724,0.49311182,0.39633217,0.0,0.0,0.5371054,0.48096052,0.39469853,0.48328653,0.5759373,0.59892416,0.34311858,0.56662685,0.54526883,0.7052509,0.36690858,0.51920855,0.49890843,0.69731814,0.4046512,0.6969653,0.5049971,0.8450283,0.41175702,0.83370864,0.54827774,0.9766442,0.41646248,0.95835465
Billet\IMG_20231123_204557.jpg,Billet,0.59824204,0.37493166,0.6109351,0.36233634,0.574399,0.36160925,0.0,0.0,0.5235621,0.37290183,0.6342011,0.44986895,0.48805177,0.46558958,0.6821397,0.5503902,0.51123244,0.56382257,0.6917001,0.635048,0.6240452,0.49670172,0.6384151,0.66066223,0.5379763,0.6719817,0.6403686,0.8017089,0.5180362,0.8168092,0.6322335,0.92745954,0.5018215,0.94570756
Billet\IMG_20231123_204600.jpg,Billet,0.577879,0.4150466,0.5881683,0.40229034,0.555305,0.40329427,0.0,0.0,0.5081426,0.41636467,0.61775124,0.48632622,0.47722676,0.5019653,0.66109693,0.5848388,0.49453396,0.5922557,0.6709939,0.6646033,0.6091939,0.5331656,0.61663556,0.6924357,0.5184376,0.70380294,0.61531126,0.8337612,0.50155765,0.8500409,0.60116833,0.9523466,0.49079666,0.9657718
Billet\IMG_20231123_204606.jpg,Billet,0.4989281,0.3747148,0.0,0.0,0.48486903,0.36002535,0.0,0.0,0.43267515,0.37193084,0.37315172,0.4575143,0.4582031,0.47156584,0.0,0.0,0.5675456,0.5541544,0.0,0.0,0.5585425,0.48040354,0.40944836,0.6675606,0.46981943,0.6816492,0.40395132,0.7942429,0.49218658,0.82738465,0.3922866,0.9113299,0.4801568,0.97045255
Billet\IMG_20231123_205130.jpg,Billet,0.48848918,0.32900116,0.5082665,0.3149373,0.4693264,0.31686035,0.5421276,0.32631236,0.44614193,0.32978648,0.57391685,0.42181033,0.41418892,0.4268415,0.60048264,0.543506,0.39867336,0.5168303,0.59793025,0.63797736,0.50447494,0.46533576,0.5416635,0.63048005,0.43752626,0.6348838,0.52805257,0.77665865,0.43797395,0.78377664,0.5256324,0.90741146,0.43885836,0.9030907
Billet\IMG_20231123_205136.jpg,Billet,0.5397977,0.31872073,0.0,0.0,0.5263331,0.30526486,0.0,0.0,0.4710636,0.31759796,0.46874964,0.40750912,0.4767996,0.41934213,0.0,0.0,0.5764961,0.5145867,0.0,0.0,0.54215956,0.42246923,0.49657872,0.6274554,0.49765113,0.6372176,0.50054437,0.7839707,0.48869687,0.805233,0.48337826,0.90211457,0.4339417,0.9455324
Billet\IMG_20231123_205145.jpg,Billet,0.38947386,0.31636873,0.41149402,0.30272534,0.37738472,0.30355805,0.45657417,0.31275332,0.36740842,0.31282777,0.4932182,0.40508232,0.33721724,0.40865096,0.5262709,0.5231208,0.3038957,0.49697986,0.51632535,0.62126607,0.39377895,0.44537905,0.4687261,0.60970783,0.37143597,0.6143138,0.4756111,0.7497513,0.40461668,0.7497953,0.5053569,0.87119824,0.4372518,0.865514
Billet\IMG_20231123_205148.jpg,Billet,0.4172576,0.3594142,0.42349523,0.34468916,0.0,0.0,0.46077228,0.34964418,0.0,0.0,0.4805699,0.45044783,0.49469203,0.43895665,0.46882144,0.58472157,0.45270097,0.53872156,0.42415288,0.68184716,0.40131837,0.4848115,0.45995045,0.6562414,0.48131663,0.6486048,0.45831704,0.80631715,0.4928055,0.7834358,0.49068493,0.9431624,0.50620216,0.89601856
Billet\IMG_20231123_205156.jpg,Billet,0.46160662,0.353486,0.0,0.0,0.45221448,0.34029058,0.0,0.0,0.41005006,0.35186845,0.3414434,0.43164334,0.4315567,0.44577542,0.0,0.0,0.5209845,0.5258704,0.0,0.0,0.4762619,0.48231226,0.36466163,0.62525016,0.4165864,0.6376643,0.3913719,0.7603049,0.40578496,0.79284716,0.3909746,0.89536,0.38034105,0.9403977
Billet\IMG_20231123_205606.jpg,Billet,0.4874609,0.42951897,0.0,0.0,0.4706945,0.41993722,0.0,0.0,0.42274305,0.43111753,0.46347806,0.49740347,0.38429508,0.5078474,0.4915344,0.5704601,0.35803485,0.6115001,0.49868315,0.5548127,0.37227738,0.70412195,0.4579926,0.68534374,0.40692425,0.6931635,0.43688333,0.8055131,0.3999885,0.8307103,0.42419448,0.92405057,0.38197535,0.9532581
